match_id,match_date,match_time,city,stadium,team_a,team_b,toss_winner,toss_decision,score_a,wickets_a,overs_played_a,maiden_overs_a,4s_a,6s_a,boundaries_a,runrate_a,leg_byes_a,byes_a,wides_a,no_balls_a,penalty_a,extras_a,score_b,wickets_b,overs_played_b,maiden_overs_b,4s_b,6s_b,boundaries_b,runrate_b,leg_byes_b,byes_b,wides_b,no_balls_b,penalty_b,extras_b,wining_team,man_of_the_match,umpire_1,umpire_2,tv_umpire,match_refree,margin_runs,margin_wickets
34,03-11-2023,10:30 AM,Lucknow,BRSABV Ekana Cricket Stadium,Netherlands,Afghanistan,Netherlands,Bat,181,3,31.3,0,19,0,19,5.74,3,0,7,2,0,12,179,10,46.3,1,21,0,21,3.84,2,0,14,0,0,16,Afghanistan,Mohammad Nabi,Nitin Menon,Sharfuddoula,Michael Gough,Javagal Srinath,0,7
35,04-11-2023,2:00 PM,Bangalore,M. Chinnaswamy Stadium,New Zealand,Pakistan,Pakistan,Field,401,6,50.0,1,46,8,54,8.02,1,0,3,0,0,4,200,1,25.3,0,15,13,28,7.84,8,0,17,1,0,26,Pakistan,Fakhar Zaman,Paul Wilson,Richard Kettleborough,Richard Illingworth,Richie Richardson,21,0
36,04-11-2023,2:00 PM,Ahmedabad,Narendra Modi Stadium,Australia,England,England,Field,286,10,49.3,2,25,3,28,5.77,6,0,8,0,0,14,253,10,48.1,1,22,6,28,5.25,6,0,4,0,0,10,Australia,Adam Zampa,Chris Gaffaney,Marais Erasmus,Adrian Holdstock,Jeff Crowe,33,0
37,05-11-2023,2:00 PM,Kolkata,Eden Gardens,India,South Africa,India,Bat,326,5,50.0,3,35,6,41,6.52,0,0,2,0,0,2,83,10,27.1,1,10,0,10,3.05,2,0,22,2,0,26,India,Virat Kohli,Paul Reiffel,Kumar Dharmasena,Chris Brown,Andy Pycroft,243,0
38,06-11-2023,2:00 PM,Delhi,Arun Jaitley Stadium,Sri Lanka,Bangladesh,Bangladesh,Field,279,10,49.3,2,27,7,34,5.63,13,0,10,0,0,23,282,7,41.1,1,33,7,40,6.85,2,0,4,0,0,6,Bangladesh,Shakib Al Hasan,Richard Illingworth,Marais Erasmus,Nitin Menon,Richie Richardson,0,3
39,07-11-2023,2:00 PM,Mumbai,Wankhede Stadium,Australia,Afghanistan,Afghanistan,Bat,293,7,46.5,0,30,12,42,6.25,5,0,10,1,0,16,291,5,50.0,3,16,9,25,5.82,1,4,10,0,0,15,Australia,Glenn Maxwell,Michael Gough,Alex Wharf,Chris Gaffaney,Jeff Crowe,0,3
40,08-11-2023,2:00 PM,Pune,Maharashtra Cricket Association Stadium,England,Netherlands,England,Bat,179,10,37.2,2,26,10,36,4.79,4,0,4,0,0,8,339,9,50.0,0,15,6,21,6.78,0,0,20,1,0,21,England,Ben Stokes,Ahsan Raza,Rod Tucker,Marais Erasmus,Andy Pycroft,160,0
41,09-11-2023,2:00 PM,Bangalore,M. Chinnaswamy Stadium,New Zealand,Sri Lanka,New Zealand,Field,171,10,46.4,7,23,5,28,3.66,1,0,3,0,0,4,172,5,23.2,1,21,3,24,7.37,0,0,2,0,0,2,New Zealand,Trent Boult,Adrian Holdstock,Joel Wilson,Richard Kettleborough,Javagal Srinath,0,5
42,10-11-2023,10:30 AM,Ahmedabad,Narendra Modi Stadium,Afghanistan,South Africa,Afghanistan,Bat,244,10,50.0,2,20,6,26,4.88,3,0,6,0,0,9,247,5,47.3,2,15,9,24,,1,4,10,0,0,15,South Africa,Rassie van der Dussen,Nitin Menon,Chris Brown,Kumar Dharmasena,Jeff Crowe,0,5
43,11-11-2023,2:00 PM,Pune,Maharashtra Cricket Association Stadium,Australia,Bangladesh,Australia,Field,306,8,50.0,1,29,10,39,6.12,10,0,12,2,0,24,307,2,44.4,1,27,6,33,6.87,0,0,4,0,0,4,Australia,Mitchell Marsh,Ahsan Raza,Marais Erasmus,Richard Illingworth,Andy Pycroft,0,8
44,11-11-2023,2:00 PM,Kolkata,Eden Gardens,England,Pakistan,England,Bat,244,10,50.0,1,27,6,33,6.74,2,5,12,0,0,19,337,9,43.3,0,35,8,43,5.6,1,0,5,0,0,6,England,David Willey,Paul Wilson,Rod Tucker,Sharfuddoula,Javagal Srinath,93,0
45,12-11-2023,2:00 PM,Bangalore,M. Chinnaswamy Stadium,India,Netherlands,India,Bat,410,4,50.0,3,37,16,53,8.2,9,0,4,0,0,13,250,10,47.5,0,19,9,28,5.22,1,0,13,1,0,15,India,Shreyas Iyer,Michael Gough,Chris Gaffaney,Joel Wilson,Richie Richardson,160,0
46,15-11-2023,2:00 PM,Mumbai,Wankhede Stadium,India,New Zealand,India,Bat,397,4,50.0,1,30,19,49,7.94,5,4,19,1,0,29,327,10,48.5,1,29,11,40,6.69,1,1,6,0,0,8,India,Mohammed Shami,Richard Illingworth,Rod Tucker,Joel Wilson,Andy Pycroft,70,0
47,16-11-2023,2:00 PM,Kolkata,Eden Gardens,Australia,South Africa,South Africa,Bat,215,7,47.2,4,21,6,27,4.54,4,0,7,0,0,11,212,10,49.4,1,16,8,24,4.26,3,0,12,2,0,17,Australia,Travis Head,Nitin Menon,Richard Kettleborough,Chris Gaffaney,Javagal Srinath,0,3
48,19-11-2023,2:00 PM,Ahmedabad,Narendra Modi Stadium,India,Australia,Australia,Field,240,10,50.0,3,13,3,16,4.8,2,5,11,0,0,18,241,4,43.0,0,22,5,27,5.6,3,0,9,0,0,12,Australia,Travis Head,Richard Illingworth,Richard Kettleborough,Joel Wilson,Andy Pycroft,0,6
